[2026-03-26 15:52:21.293801] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-26 16:00:24.575703] SYNC: Student Harish (303) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.579279] SYNC: Student Satish (304) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.582310] SYNC: Student Suresh (401) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.584319] SYNC: Student Lakshmi (402) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.587335] SYNC: Student Mahesh (403) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.591143] SYNC: Student Akhila (404) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.593728] SYNC: Student Jyothi (405) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.596578] SYNC: Student Naveen (501) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.602115] SYNC: Student Jyothi (502) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.602115] SYNC: Student Anitha (503) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.607000] SYNC: Student Ganesh (504) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.609011] SYNC: Student Teja (601) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.611724] SYNC: Student Swathi (602) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.615750] SYNC: Student Mahesh (603) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.616758] SYNC: Student Rushithya (604) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.618871] SYNC: Student Bhavani (701) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.621004] SYNC: Student Radha (702) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.622749] SYNC: Student Anitha (703) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.624758] SYNC: Student Karthik (704) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.628090] SYNC: Student Venkatesh (801) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.630852] SYNC: Student Rushithya (802) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.633255] SYNC: Student Rushithya (803) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.637313] SYNC: Student Bhavani (804) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.637313] SYNC: Student Kiran (901) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.643715] SYNC: Student Radha (902) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.645769] SYNC: Student Rajesh (903) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.645769] SYNC: Student Rajesh (904) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.651820] SYNC: Student Suresh (1001) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.653867] SYNC: Student Sujatha (1002) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.653867] SYNC: Student Praveen (1003) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:00:24.653867] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:00:24.660755] SYNC: Student Rahul Kumar (1075) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.652149] SYNC: Student ravi (101) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:01:21.657164] SYNC: Student Sravani (105) | Total:4 Pres:2 New%:50.0
[2026-03-26 16:01:21.661005] SYNC: Student Teja (201) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:01:21.666434] SYNC: Student Sujatha (202) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:01:21.669280] SYNC: Student Kavitha (203) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:01:21.672395] SYNC: Student Praveen (204) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:01:21.676923] SYNC: Student Praveen (301) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.680225] SYNC: Student Suresh (302) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.682239] SYNC: Student Harish (303) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.686257] SYNC: Student Satish (304) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.689410] SYNC: Student Suresh (401) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.692997] SYNC: Student Lakshmi (402) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.696302] SYNC: Student Mahesh (403) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.696302] SYNC: Student Akhila (404) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.703760] SYNC: Student Jyothi (405) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.703760] SYNC: Student Naveen (501) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.710178] SYNC: Student Jyothi (502) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.713932] SYNC: Student Anitha (503) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.716602] SYNC: Student Ganesh (504) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.719452] SYNC: Student Teja (601) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.724318] SYNC: Student Swathi (602) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.727873] SYNC: Student Mahesh (603) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.730803] SYNC: Student Rushithya (604) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.734947] SYNC: Student Bhavani (701) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.737438] SYNC: Student Radha (702) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.740941] SYNC: Student Anitha (703) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.744935] SYNC: Student Karthik (704) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.748431] SYNC: Student Venkatesh (801) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.748983] SYNC: Student Rushithya (802) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.751886] SYNC: Student Rushithya (803) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.756494] SYNC: Student Bhavani (804) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.758370] SYNC: Student Kiran (901) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.758370] SYNC: Student Radha (902) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.765353] SYNC: Student Rajesh (903) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.768505] SYNC: Student Rajesh (904) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.769080] SYNC: Student Suresh (1001) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.773784] SYNC: Student Sujatha (1002) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.774856] SYNC: Student Praveen (1003) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:01:21.777882] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:01:21.781159] SYNC: Student Rahul Kumar (1075) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.420935] SYNC: Student ravi (101) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:02:54.427641] SYNC: Student Sravani (105) | Total:4 Pres:2 New%:50.0
[2026-03-26 16:02:54.438340] SYNC: Student Teja (201) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:02:54.443373] SYNC: Student Sujatha (202) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:02:54.448591] SYNC: Student Kavitha (203) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:02:54.453975] SYNC: Student Praveen (204) | Total:1 Pres:1 New%:100.0
[2026-03-26 16:02:54.462020] SYNC: Student Praveen (301) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.467651] SYNC: Student Suresh (302) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.475883] SYNC: Student Harish (303) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.482201] SYNC: Student Satish (304) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.488899] SYNC: Student Suresh (401) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.494799] SYNC: Student Lakshmi (402) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.496874] SYNC: Student Mahesh (403) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.502563] SYNC: Student Akhila (404) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.504818] SYNC: Student Jyothi (405) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.509701] SYNC: Student Naveen (501) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.515753] SYNC: Student Jyothi (502) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.519032] SYNC: Student Anitha (503) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.524667] SYNC: Student Ganesh (504) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.530248] SYNC: Student Teja (601) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.534783] SYNC: Student Swathi (602) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.541206] SYNC: Student Mahesh (603) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.545836] SYNC: Student Rushithya (604) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.548835] SYNC: Student Bhavani (701) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.551997] SYNC: Student Radha (702) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.556852] SYNC: Student Anitha (703) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.562134] SYNC: Student Karthik (704) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.566609] SYNC: Student Venkatesh (801) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.570743] SYNC: Student Rushithya (802) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.574915] SYNC: Student Rushithya (803) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.578699] SYNC: Student Bhavani (804) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.583417] SYNC: Student Kiran (901) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.587363] SYNC: Student Radha (902) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.590725] SYNC: Student Rajesh (903) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.595264] SYNC: Student Rajesh (904) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.599410] SYNC: Student Suresh (1001) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.603934] SYNC: Student Sujatha (1002) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.609356] SYNC: Student Praveen (1003) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:02:54.613110] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:02:54.619418] SYNC: Student Rahul Kumar (1075) | Total:0 Pres:0 New%:100.0
[2026-03-26 16:05:53.062334] SYNC: Student ravi (101) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:05:53.068794] SYNC: Student Sravani (105) | Total:4 Pres:2 New%:50.0
[2026-03-26 16:05:53.078976] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:06:09.674204] SYNC: Student ravi (101) | Total:5 Pres:4 New%:80.0
[2026-03-26 16:06:09.690892] SYNC: Student Sravani (105) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:06:09.701963] SYNC: Student Vennela (106) | Total:4 Pres:4 New%:100.0
[2026-03-26 16:06:22.031334] SYNC: Student ravi (101) | Total:5 Pres:4 New%:80.0
[2026-03-26 16:06:22.041450] SYNC: Student Sravani (105) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:06:22.051817] SYNC: Student Vennela (106) | Total:4 Pres:4 New%:100.0
[2026-03-26 16:06:29.822151] SYNC: Student ravi (101) | Total:5 Pres:4 New%:80.0
[2026-03-26 16:06:29.827820] SYNC: Student Sravani (105) | Total:4 Pres:2 New%:50.0
[2026-03-26 16:06:29.845213] SYNC: Student Vennela (106) | Total:4 Pres:4 New%:100.0
[2026-03-26 16:06:37.816936] SYNC: Student ravi (101) | Total:5 Pres:4 New%:80.0
[2026-03-26 16:06:37.830398] SYNC: Student Sravani (105) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:06:37.844940] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:06:59.521410] SYNC: Student ravi (101) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:06:59.537646] SYNC: Student Sravani (105) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:06:59.544946] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:36:44.057514] SYNC: Student ravi (101) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:36:44.071322] SYNC: Student Sravani (105) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:36:44.079262] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:36:50.194103] SYNC: Student ravi (101) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:36:50.206519] SYNC: Student Sravani (105) | Total:4 Pres:2 New%:50.0
[2026-03-26 16:36:50.218810] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-26 16:36:57.459933] SYNC: Student ravi (101) | Total:5 Pres:3 New%:60.0
[2026-03-26 16:36:57.468895] SYNC: Student Sravani (105) | Total:4 Pres:2 New%:50.0
[2026-03-26 16:36:57.485823] SYNC: Student Vennela (106) | Total:4 Pres:3 New%:75.0
[2026-03-27 09:13:15.492477] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-27 09:13:15.507132] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-27 09:13:15.524725] SYNC: Student Vennela (106) | Total:5 Pres:4 New%:80.0
[2026-03-27 09:15:39.708639] SYNC: Student ravii (102) | Total:0 Pres:0 New%:100.0
[2026-03-27 09:18:43.280443] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-27 09:18:43.293220] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-27 09:18:43.312123] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-27 09:18:43.326977] SYNC: Student ravii (102) | Total:1 Pres:1 New%:100.0
[2026-03-27 09:18:52.889271] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-27 09:18:52.897497] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-27 09:18:52.906426] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-27 09:18:52.915580] SYNC: Student ravii (102) | Total:1 Pres:0 New%:0.0
[2026-03-27 09:36:59.565473] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-27 09:36:59.578255] SYNC: Student Sravani (105) | Total:5 Pres:3 New%:60.0
[2026-03-27 09:36:59.591865] SYNC: Student Vennela (106) | Total:5 Pres:4 New%:80.0
[2026-03-27 09:36:59.605703] SYNC: Student ravii (102) | Total:1 Pres:1 New%:100.0
[2026-03-27 09:49:45.428470] SYNC: Student ravi (101) | Total:6 Pres:4 New%:66.67
[2026-03-27 10:09:02.241731] SYNC: Student jaya (103) | Total:0 Pres:0 New%:100.0
[2026-03-27 10:09:13.842872] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-27 10:09:13.848877] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-27 10:09:13.855580] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
[2026-03-27 10:09:13.863486] SYNC: Student ravii (102) | Total:1 Pres:0 New%:0.0
[2026-03-27 10:09:13.876736] SYNC: Student jaya (103) | Total:1 Pres:0 New%:0.0
[2026-03-28 09:36:00.296735] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:00.318500] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:00.334583] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:00.353522] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:13.508598] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:13.523036] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:13.533875] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:13.546491] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:21.906794] SYNC: Student Teja (201) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:36:21.923851] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:21.935796] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:36:21.948377] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:58.463539] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:58.479438] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:58.496414] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:36:58.515024] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:37:06.360426] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:37:06.371100] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:37:06.379371] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:37:06.391340] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:44:09.738697] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:44:09.753553] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:44:09.767440] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:44:09.777883] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:44:21.134412] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:44:21.146648] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:44:21.160035] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:44:21.173817] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:45:31.812040] SYNC: Student Teja (201) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:45:31.832598] SYNC: Student Sujatha (202) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:45:31.846530] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:45:31.866449] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:50:15.154670] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:15.165950] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:15.172752] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:50:15.178623] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:50:21.817862] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:21.821328] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:21.827948] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:21.834873] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:27.639193] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:27.645702] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:27.653925] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:50:27.661136] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:52:24.368837] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:52:24.377768] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:52:24.380030] SYNC: Student Kavitha (203) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:52:24.391307] SYNC: Student Praveen (204) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:52:37.760714] SYNC: Student Teja (201) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:52:37.778699] SYNC: Student Sujatha (202) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:52:37.788259] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:52:37.802384] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:52:47.540622] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:52:47.552510] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:52:47.562016] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:52:47.573012] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:54:55.588707] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:54:55.596211] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 09:54:55.603708] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 09:54:55.613687] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:05:29.389643] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:05:29.399337] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:05:29.409094] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:05:29.417368] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:05:42.787401] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:05:42.798133] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:05:42.807519] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:05:42.814580] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:05:59.803527] SYNC: Student Teja (201) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:05:59.811122] SYNC: Student Sujatha (202) | Total:2 Pres:1 New%:50.0
[2026-03-28 10:05:59.821486] SYNC: Student Kavitha (203) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:05:59.833220] SYNC: Student Praveen (204) | Total:2 Pres:2 New%:100.0
[2026-03-28 10:08:12.193165] SYNC: Student ravi (101) | Total:6 Pres:3 New%:50.0
[2026-03-28 10:08:12.202209] SYNC: Student Sravani (105) | Total:5 Pres:2 New%:40.0
[2026-03-28 10:08:12.211247] SYNC: Student Vennela (106) | Total:5 Pres:3 New%:60.0
